timestamp,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_m,hdop,speed_kmh
1770559656.983537,57.83443967,12.30725717,57.83444625,12.30725450,3.381,4.528,1.380,1.24
1770559657.9910371,57.83442850,12.30727150,57.83443738,12.30726300,3.571,4.583,1.460,1.44
1770559658.9842515,57.83442417,12.30727117,57.83443077,12.30726708,3.571,4.637,1.460,1.27
1770559659.9909298,57.83443700,12.30726517,57.83443389,12.30726612,6.214,4.690,2.570,0.75
1770559660.983394,57.83444400,12.30725467,57.83443894,12.30726040,7.000,4.743,2.900,0.53
1770559661.989041,57.83446050,12.30724400,57.83444972,12.30725220,7.000,4.796,2.900,0.24
1770559662.9831798,57.83447283,12.30723550,57.83446128,12.30724385,7.000,4.848,2.900,0.46
1770559663.9880896,57.83440950,12.30732400,57.83443539,12.30728392,7.000,4.899,2.900,3.25
1770559665.0018613,57.83433150,12.30743367,57.83438344,12.30735880,4.024,4.950,1.650,7.11
1770559665.9894316,57.83433000,12.30744350,57.83435672,12.30740115,4.024,5.000,1.650,6.72
1770559666.9974678,57.83433083,12.30744917,57.83434378,12.30742516,7.000,5.050,2.900,6.28
1770559667.984528,57.83433133,12.30745183,57.83433756,12.30743850,7.000,5.099,2.900,5.89
1770559668.9967618,57.83432350,12.30745467,57.83433053,12.30744658,7.000,5.148,2.900,5.82
1770559669.9937057,57.83431667,12.30745283,57.83432360,12.30744971,7.000,5.196,2.900,5.82
1770559671.0003092,57.83430950,12.30746117,57.83431655,12.30745544,7.000,5.244,2.900,5.77
1770559671.9865258,57.83431467,12.30745117,57.83431561,12.30745330,7.000,5.292,2.900,5.12
1770559672.985872,57.83432667,12.30744467,57.83432114,12.30744898,6.976,5.339,2.890,4.31
1770559673.9860594,57.83433550,12.30744167,57.83432832,12.30744533,6.976,5.385,2.890,3.77
1770559674.9914372,57.83434033,12.30743617,57.83433433,12.30744075,6.976,5.431,2.890,3.24
1770559675.9940996,57.83437317,12.30740417,57.83435375,12.30742246,6.976,5.477,2.890,1.82
1770559676.990018,57.83440300,12.30738483,57.83437837,12.30740364,6.214,5.523,2.570,1.46
1770559677.9836693,57.83429167,12.30754767,57.83433502,12.30747566,6.262,5.568,2.590,3.15
1770559678.989518,57.83419600,12.30768950,57.83426551,12.30758258,12.000,5.612,7.980,5.12
1770559679.9869533,57.83411633,12.30780533,57.83419092,12.30769396,12.000,5.657,7.970,6.21
1770559681.9930513,57.83407283,12.30787233,57.83413188,12.30778314,12.000,5.701,9.080,5.49
1770559682.9870665,57.83408583,12.30785567,57.83410886,12.30781941,6.190,5.745,2.560,4.51
1770559683.9865556,57.83410117,12.30783500,57.83410501,12.30782720,6.190,5.788,2.560,3.56
1770559684.9868958,57.83410567,12.30781583,57.83410534,12.30782152,6.190,5.831,2.560,3.33
1770559685.973184,57.83411967,12.30778400,57.83411250,12.30780276,6.952,5.874,2.880,2.73
1770559686.9833913,57.83412983,12.30776933,57.83412117,12.30778605,6.952,5.916,2.880,2.35
1770559687.992836,57.83415783,12.30773733,57.83413950,12.30776169,6.952,5.958,2.880,0.96
1770559688.9872053,57.83418783,12.30769750,57.83416367,12.30772959,6.262,6.000,2.590,0.42
1770559689.986159,57.83421333,12.30766600,57.83418850,12.30769780,6.262,6.042,2.590,1.08
1770559690.988119,57.83423633,12.30762350,57.83421242,12.30766065,6.262,6.083,2.590,1.75
1770559693.9856727,57.83429100,12.30755550,57.83425171,12.30760807,12.000,6.124,9.800,2.17
1770559694.992243,57.83430117,12.30754500,57.83427644,12.30757654,6.190,6.164,2.560,1.91
1770559695.9891362,57.83424783,12.30762467,57.83426214,12.30760060,6.190,6.205,2.560,0.90
1770559696.996991,57.83420783,12.30768550,57.83423498,12.30764305,3.571,6.245,1.460,0.24
1770559697.9917164,57.83418033,12.30773017,57.83420766,12.30768661,3.571,6.285,1.460,0.25
1770559698.9973638,57.83414750,12.30777050,57.83417758,12.30772855,3.571,6.325,1.460,0.44
1770559699.9855862,57.83412533,12.30780850,57.83415146,12.30776853,3.571,6.364,1.460,0.08
1770559700.990943,57.83410333,12.30783367,57.83412739,12.30780110,3.571,6.403,1.460,0.51
1770559701.9923875,57.83407183,12.30787200,57.83409961,12.30783655,3.571,6.442,1.460,0.83
1770559702.984386,57.83404050,12.30790850,57.83407006,12.30787252,4.024,6.481,1.650,1.39
1770559703.9921558,57.83400950,12.30794117,57.83403978,12.30790685,4.024,6.519,1.650,1.79
1770559704.9865031,57.83397817,12.30798467,57.83400897,12.30794576,4.024,6.557,1.650,2.33
1770559705.9973066,57.83395483,12.30801650,57.83398190,12.30798113,4.024,6.595,1.650,3.24
1770559706.9897006,57.83393550,12.30805367,57.83395870,12.30801740,3.357,6.633,1.370,3.82
1770559707.9953933,57.83392783,12.30807650,57.83394327,12.30804695,3.357,6.671,1.370,3.85
1770559709.0012975,57.83391883,12.30809817,57.83393105,12.30807256,3.214,6.708,1.310,3.94
1770559709.9960494,57.83390617,12.30812033,57.83391861,12.30809645,3.214,6.745,1.310,4.10
1770559710.9958825,57.83390383,12.30812417,57.83391122,12.30811031,3.214,6.782,1.310,3.23
1770559711.9842832,57.83389967,12.30813500,57.83390544,12.30812265,3.214,6.819,1.310,2.61
1770559712.9921653,57.83389417,12.30813967,57.83389981,12.30813116,3.214,6.856,1.310,2.03
1770559713.9985282,57.83388700,12.30815150,57.83389340,12.30814133,3.214,6.892,1.310,1.92
1770559714.9920309,57.83388000,12.30816050,57.83388670,12.30815091,3.214,6.928,1.310,1.85
1770559715.9918082,57.83387733,12.30817633,57.83388202,12.30816362,3.214,6.964,1.310,1.78
1770559716.9898434,57.83386800,12.30818617,57.83387501,12.30817490,3.214,7.000,1.310,1.86
1770559717.99728,57.83385667,12.30820383,57.83386584,12.30818936,3.214,7.036,1.310,2.18
1770559718.9850647,57.83383983,12.30821500,57.83385284,12.30820218,3.214,7.071,1.310,2.78
1770559720.0005307,57.83382767,12.30822733,57.83384025,12.30821476,3.214,7.106,1.310,2.83
1770559720.9847264,57.83381633,12.30824083,57.83382829,12.30822780,3.571,7.141,1.460,2.81
1770559721.9870236,57.83380583,12.30825600,57.83381706,12.30824190,3.571,7.176,1.460,2.77
1770559722.9951231,57.83380017,12.30825583,57.83380861,12.30824887,3.571,7.211,1.460,2.35
1770559724.0003548,57.83379900,12.30824733,57.83380381,12.30824810,3.571,7.246,1.460,1.88
1770559724.9851844,57.83380183,12.30823567,57.83380282,12.30824188,3.571,7.280,1.460,1.37
1770559725.989387,57.83380700,12.30822583,57.83380491,12.30823386,3.571,7.314,1.460,0.90
1770559726.9868228,57.83381317,12.30821567,57.83380904,12.30822476,3.571,7.348,1.460,0.69
1770559727.99123,57.83381750,12.30820350,57.83381327,12.30821413,3.571,7.382,1.460,1.05
1770559728.98466,57.83382867,12.30819367,57.83382097,12.30820390,3.571,7.416,1.460,1.35
1770559729.9868326,57.83384867,12.30818600,57.83383482,12.30819495,3.571,7.450,1.460,2.54
1770559730.9866967,57.83387250,12.30817283,57.83385366,12.30818389,3.571,7.483,1.460,3.79
1770559731.991447,57.83388900,12.30814267,57.83387133,12.30816328,3.571,7.517,1.460,3.64
1770559732.9842129,57.83391417,12.30811167,57.83389275,12.30813747,6.167,7.550,2.550,4.21
1770559733.9867365,57.83394400,12.30807767,57.83391837,12.30810757,6.167,7.583,2.550,4.94
1770559735.0011904,57.83395817,12.30806767,57.83393827,12.30808762,6.167,7.616,2.550,4.40
1770559735.9871902,57.83397367,12.30805617,57.83395597,12.30807189,6.167,7.649,2.550,4.13
1770559736.9861524,57.83398767,12.30804617,57.83397182,12.30805903,6.167,7.681,2.550,3.82
1770559737.993329,57.83398217,12.30805333,57.83397699,12.30805618,6.167,7.714,2.550,3.19
1770559738.9940248,57.83398033,12.30805950,57.83397866,12.30805784,4.024,7.746,1.650,2.97
1770559739.9945362,57.83398050,12.30806400,57.83397958,12.30806092,4.024,7.778,1.650,2.93
1770559740.9832637,57.83398917,12.30805233,57.83398437,12.30805663,4.024,7.810,1.650,2.65
1770559741.985734,57.83400067,12.30804500,57.83399252,12.30805081,6.857,7.842,2.840,2.68
1770559742.9910498,57.83400983,12.30803983,57.83400118,12.30804532,6.857,7.874,2.840,2.69
1770559743.9849715,57.83402583,12.30801433,57.83401351,12.30802983,6.857,7.906,2.840,2.57
1770559744.990218,57.83405067,12.30798833,57.83403209,12.30800908,6.167,7.937,2.550,3.17
1770559745.983976,57.83406883,12.30796883,57.83405046,12.30798896,6.167,7.969,2.550,3.32
1770559746.9905958,57.83410133,12.30794317,57.83407590,12.30796606,6.167,8.000,2.550,4.35
1770559747.9889255,57.83413033,12.30791300,57.83410311,12.30793953,6.167,8.031,2.550,4.87
1770559748.9860098,57.83416017,12.30787833,57.83413164,12.30790893,6.167,8.062,2.550,5.34
1770559749.9874556,57.83418367,12.30784300,57.83415765,12.30787597,6.167,8.093,2.550,5.36
1770559750.99211,57.83420533,12.30780150,57.83418149,12.30783873,6.167,8.124,2.550,5.39
1770559751.9988434,57.83423350,12.30776650,57.83420750,12.30780262,6.167,8.155,2.550,5.87
1770559752.9843533,57.83426550,12.30772833,57.83423650,12.30776547,6.167,8.185,2.550,6.55
1770559753.9977129,57.83429383,12.30769250,57.83426517,12.30772899,6.167,8.216,2.550,6.99
