timestamp,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_m,hdop,speed_kmh,sats_used,sats_in_view
1770561144.9860237,57.83445117,12.30733417,57.83444975,12.30732850,2.076,3.751,0.880,1.10,8,8
1770561145.9709044,57.83445400,12.30735100,57.83445188,12.30733975,2.076,3.149,0.880,2.31,8,8
1770561146.9830859,57.83446133,12.30735017,57.83445660,12.30734496,2.076,2.648,0.880,2.57,8,8
1770561147.972009,57.83445783,12.30734633,57.83445722,12.30734565,2.076,2.500,0.880,1.51,8,8
1770561148.972447,57.83445350,12.30734183,57.83445536,12.30734374,2.076,2.500,0.880,0.68,8,8
1770561149.970797,57.83445267,12.30733533,57.83445401,12.30733954,2.229,2.500,1.040,0.83,7,7
1770561150.9853444,57.83445683,12.30733550,57.83445542,12.30733752,2.229,2.500,1.040,1.41,7,7
1770561151.971045,57.83444900,12.30733200,57.83445221,12.30733476,2.229,2.500,1.040,0.55,7,7
1770561152.9855273,57.83444400,12.30732833,57.83444811,12.30733155,2.076,2.500,0.880,0.52,8,8
1770561153.9766586,57.83444267,12.30731650,57.83444539,12.30732402,2.076,2.500,0.880,1.26,8,8
1770561154.982058,57.83443067,12.30732567,57.83443803,12.30732484,2.076,2.500,0.880,1.03,8,8
1770561155.9729733,57.83442500,12.30732800,57.83443151,12.30732642,2.076,2.500,0.880,1.14,8,8
1770561156.981705,57.83442017,12.30732633,57.83442584,12.30732638,2.076,2.500,0.880,0.95,8,8
1770561157.97743,57.83441883,12.30732717,57.83442234,12.30732677,2.076,2.500,0.880,0.52,8,8
1770561158.9820917,57.83442167,12.30732850,57.83442200,12.30732764,2.076,2.500,0.880,0.41,8,8
1770561159.9805987,57.83442917,12.30733117,57.83442558,12.30732940,2.076,2.500,0.880,1.37,8,8
1770561160.971053,57.83442800,12.30732950,57.83442679,12.30732945,2.457,2.500,1.280,0.80,6,6
1770561161.9856687,57.83442600,12.30732967,57.83442640,12.30732956,2.457,2.500,1.280,0.47,6,6
