timestamp,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_m,altitude_m,alt_unc_m,hdop,speed_kmh,sats_used,sats_in_view,fix_quality,fix_meaning,direction
1770574526.868412,57.83443750,12.30717750,57.83443500,12.30717783,2.362,3.751,78.50,4.42,1.180,1.27,7,7,1,GPS Fix (SPS),Stopped
1770574527.8549085,57.83443533,12.30717717,57.83443517,12.30717750,2.362,3.149,78.50,4.42,1.180,1.18,7,7,1,GPS Fix (SPS),Stopped
1770574528.8637316,57.83443883,12.30719167,57.83443700,12.30718458,2.362,2.648,78.20,4.42,1.180,0.91,7,7,1,GPS Fix (SPS),Forward
1770574529.8712885,57.83444083,12.30719317,57.83443892,12.30718887,2.362,2.500,78.50,4.42,1.180,1.07,7,7,1,GPS Fix (SPS),Forward
1770574530.8745532,57.83443550,12.30719833,57.83443721,12.30719360,2.362,2.500,78.30,4.42,1.180,0.47,7,7,1,GPS Fix (SPS),Forward
1770574531.8703587,57.83443600,12.30718833,57.83443660,12.30719097,2.362,2.500,78.20,4.42,1.180,1.19,7,7,1,GPS Fix (SPS),Stopped
1770574532.873666,57.83443133,12.30718783,57.83443397,12.30718940,2.362,2.500,77.90,4.42,1.180,1.09,7,7,1,GPS Fix (SPS),Stopped
1770574533.8635592,57.83443417,12.30718933,57.83443407,12.30718937,2.362,2.500,78.00,4.42,1.180,0.88,7,7,1,GPS Fix (SPS),Stopped
1770574534.8745973,57.83443200,12.30719000,57.83443303,12.30718968,2.362,2.500,78.10,4.42,1.180,0.77,7,7,1,GPS Fix (SPS),Stopped
1770574535.866091,57.83443383,12.30718267,57.83443343,12.30718618,2.362,2.500,78.00,4.42,1.180,1.25,7,7,1,GPS Fix (SPS),Reverse
1770574536.872794,57.83442933,12.30717433,57.83443138,12.30718025,2.362,2.500,78.10,4.42,1.180,1.66,7,7,1,GPS Fix (SPS),Reverse
1770574537.8660896,57.83442650,12.30718583,57.83442894,12.30718304,2.362,2.500,77.90,4.42,1.180,0.60,7,7,1,GPS Fix (SPS),Stopped
1770574538.85724,57.83441867,12.30719850,57.83442380,12.30719077,2.362,2.500,77.80,4.42,1.180,0.70,7,7,1,GPS Fix (SPS),Forward
1770574539.8757923,57.83441400,12.30721033,57.83441890,12.30720055,2.362,2.500,77.60,4.42,1.180,0.95,7,7,1,GPS Fix (SPS),Forward
1770574540.86548,57.83441317,12.30721750,57.83441603,12.30720903,2.362,2.500,77.30,4.42,1.180,0.59,7,7,1,GPS Fix (SPS),Forward
1770574541.8716152,57.83440933,12.30722667,57.83441268,12.30721785,2.362,2.500,76.90,4.42,1.180,0.92,7,7,1,GPS Fix (SPS),Forward
1770574542.8654985,57.83440833,12.30723733,57.83441051,12.30722759,2.362,2.500,76.60,4.42,1.180,1.17,7,7,1,GPS Fix (SPS),Forward
1770574543.8739667,57.83440783,12.30724567,57.83440917,12.30723663,2.362,2.500,76.30,4.42,1.180,1.04,7,7,1,GPS Fix (SPS),Forward
1770574544.8685691,57.83441200,12.30724950,57.83441059,12.30724306,2.362,2.500,75.80,4.42,1.180,0.60,7,7,1,GPS Fix (SPS),Forward
1770574545.8715372,57.83441233,12.30725800,57.83441146,12.30725053,2.362,2.500,75.00,4.42,1.180,0.53,7,7,1,GPS Fix (SPS),Forward
