time_s,raw_lat,raw_lon,filt_lat,filt_lon,raw_unc_m,filt_unc_x_m,filt_unc_y_m,speed_kmh,sats_used,sats_in_view,direction,altitude_m,alt_unc_m,fix_quality
1.51,57.8345005,12.307301833333334,57.834498749999995,12.307303416666667,2.5,3.75099986670221,3.75099986670221,1.2839720613165015,10,10,Reverse,98.0,3.75,1
2.4,57.83449866666667,12.307313333333331,57.83449870833333,12.307308375,2.5,3.149444395445012,3.149444395445012,1.2667221402183628,10,10,Reverse,98.1,3.75,1
3.42,57.83449383333333,12.307327000000003,57.834496270833334,12.307317687500001,2.5,2.648263582047678,2.648263582047678,1.3275316247464284,10,10,Reverse,98.0,3.75,1
4.36,57.834488166666674,12.307320333333333,57.83449221875,12.307319010416666,2.5,2.5,2.5,1.1863846645550962,11,11,Reverse,98.3,3.75,1
5.27,57.83449033333333,12.30731633333333,57.83449127604167,12.307317671875,2.5,2.5,2.5,0.9510187890939971,11,11,Reverse,98.2,3.75,1
6.43,57.83449316666667,12.307309166666668,57.83449222135417,12.307313419270834,2.5,2.5,2.5,0.720121975702559,9,9,Reverse,98.6,3.75,1
7.27,57.83449866666667,12.307303833333332,57.834495444010415,12.307308626302083,2.5,2.5,2.5,0.6502016954158806,9,9,Reverse,98.8,3.75,1
8.34,57.83450316666667,12.3073055,57.83449930533855,12.307307063151042,2.5,2.5,2.5,0.6291200435724565,9,9,Reverse,98.7,3.75,1
9.47,57.83449733333334,12.307295,57.83449831933594,12.30730103157552,2.5,2.5,2.5,0.5991386801147712,9,9,Reverse,98.3,3.75,1
10.34,57.83449266666666,12.307279000000001,57.8344954930013,12.30729001578776,2.5,2.5,2.5,0.7882593231736303,10,10,Reverse,97.5,3.75,1
11.32,57.83448266666666,12.307267000000001,57.83448907983398,12.307278507893882,2.5,2.5,2.5,1.1000268080092024,10,10,Reverse,96.6,3.75,1
12.32,57.834474833333324,12.307240833333333,57.83448195658365,12.307259670613607,2.5,2.5,2.5,1.6779857283847306,11,11,Reverse,95.9,3.75,1
13.28,57.83446716666667,12.307214833333335,57.834474561625164,12.30723725197347,2.5,2.5,2.5,2.2915169800591912,11,11,Reverse,95.2,3.75,1
14.27,57.83446066666667,12.307186999999999,57.834467614145915,12.307212125986736,2.5,2.5,2.5,2.849167057945794,11,11,Reverse,94.5,3.75,1
15.3,57.834461499999996,12.307195833333333,57.834464557072955,12.307203979660034,2.5,2.5,2.5,2.7972273859046486,10,10,Reverse,93.9,3.75,1
16.26,57.83446716666667,12.307203166666666,57.834465861869816,12.30720357316335,2.5,2.5,2.5,2.3758037610655673,10,10,Reverse,93.2,3.75,1
17.29,57.83447266666667,12.307214166666665,57.83446926426824,12.307208869915007,2.5,2.5,2.5,1.8604110982931688,10,10,Reverse,92.8,3.75,1
18.27,57.8344765,12.307220833333334,57.83447288213412,12.30721485162417,2.5,2.5,2.5,1.4998935106621702,10,10,Reverse,92.4,3.75,1
19.32,57.83447783333333,12.307229500000002,57.83447535773372,12.307222175812086,2.5,2.5,2.5,1.3177817832720782,10,10,Reverse,92.1,3.75,1
20.33,57.83447249999999,12.307240333333334,57.834473928866856,12.307231254572711,2.5,2.5,2.5,1.4107115491211317,10,10,Reverse,91.7,3.75,1
21.43,57.83447066666666,12.307245,57.83447229776676,12.307238127286356,2.5,2.5,2.5,1.4480300842615026,10,10,Reverse,91.1,3.75,1
22.28,57.83446983333333,12.307239666666666,57.83447106555005,12.30723889697651,2.5,2.5,2.5,1.3037130918694708,10,10,Reverse,90.6,3.75,1
23.28,57.83446933333333,12.307240833333333,57.83447019944169,12.307239865154921,2.5,2.5,2.5,1.2058626497448441,9,9,Reverse,90.1,3.75,1
24.28,57.834470499999995,12.307238,57.83447034972084,12.30723893257746,2.5,2.5,2.5,1.0555526970819373,9,9,Reverse,89.8,3.75,1
25.28,57.834469166666665,12.307233833333331,57.834469758193755,12.307236382955397,2.5,2.5,2.5,1.0437052541711327,9,9,Reverse,89.3,3.75,1
26.26,57.834477500000006,12.307229166666666,57.83447362909688,12.30723277481103,2.5,2.5,2.5,1.0035953458541256,9,9,Reverse,89.0,3.75,1
27.36,57.83448433333333,12.307221333333333,57.834478981215106,12.307227054072182,2.5,2.5,2.5,1.1511903534624475,9,9,Reverse,88.6,3.75,1
28.32,57.834493499999994,12.307224833333331,57.834486240607546,12.307225943702756,2.5,2.5,2.5,1.3372605916505667,9,9,Reverse,88.0,3.75,1
